Stage Name,Full Name,Korean Name,K Stage Name,Date of Birth,Group,Debut,Company,Country,Second Country,Height,Weight,Birthplace,Other Group,Former Group,Gender
2Soul,Kim Younghoon,김영훈,이솔,10/09/1997,7 O'clock,26/08/2014,Jungle,South Korea,,172,55,,,,M
A.M,Seong Hyunwoo,성현우,에이엠,31/12/1996,Limitless,9/07/2019,ONO,South Korea,,181,62,,,,M
Ace,Jang Wooyoung,장우영,에이스,28/08/1992,VAV,31/10/2015,A team,South Korea,,177,63,,,,M
Aeji,Kwon Aeji,권애지,애지,25/10/1999,Hash Tag,11/10/2017,LUK,South Korea,,163,,Daegu,,,F
AhIn,Lee Ahin,이아인,아인,27/09/1999,MOMOLAND,9/11/2016,Double Kick,South Korea,,160,44,Wonju,,,F
Ahra,Go Ahra,고아라,아라,21/02/2001,Favorite,5/07/2017,Astory,South Korea,,,,Yeosu,,,F
Ahyeon,Jung Ahyeon,정아현,아현,11/04/2007,BABYMONSTER,0/01/1900,YG,South Korea,,,,,,,F
Ahyoon,Choi Subin,최수빈,아윤,23/10/2004,BOTOPASS,26/08/2020,WKS ENE,South Korea,,,,,,,F
Ahyoon,Shin Ahyoon,신아윤,아윤,24/09/2003,Queenz Eye,24/10/2022,Big Mountain,South Korea,,,,Seoul,,,F
Ahyoung,Cho Jayoung,조자영,아영,26/05/1991,Dal Shabet,3/01/2011,Happy Face,South Korea,,,,Seoul,,,F
Ahyung,Kang Ahyoung,강아형,아형,27/08/1996,P.O.P,26/07/2017,DWM,South Korea,,,,Pohang,,,F
Ailee,Lee Yejin,이예진,에일리,30/05/1989,,,,South Korea,USA,165,,Denver,,,F
Aini,Kim Heejung,김희정,아이니,13/07/1991,,,,South Korea,,163,44,,,Pink Fantasy,F
Aisha,Heo Yoorim,허유림,아샤,21/07/2000,Everglow,18/03/2019,Yuehua,South Korea,,,,,,,F
Aki,Jang Minju,장민주,아키,12/02/2001,MAJORS,9/03/2021,ANS,South Korea,,168,48,,,,F
Alex,Alexander Schmidt Lee,알렉산더 슈미트 리,알렉스,6/10/2004,DRIPPIN,26/10/2020,Woollim,Germany,South Korea,180,,,,,M
AleXa,Kim Seri,김세리,알렉사,6/12/1996,,,,USA,,,,,,,F
Alice,Song Joohee,송주희,앨리스,21/03/1990,Hello Venus,9/05/2012,Fantagio,South Korea,,166,47,Wonju,,,F
Alice,Cheon Jaeyoung,천재영,앨리스,20/02/2002,TRACER,3/04/2022,Gleamedia,South Korea,,,,,,,F
Allen,Allen Ma,앨런 마,앨런,26/04/1999,CRAVITY,14/04/2020,Starship,USA,South Korea,,,,,,M
Amber,Amber Josephine Liu,엠버 조세핀 리우,엠버,18/09/1992,f(x),5/09/2009,SM,USA,Taiwan,167,,Los Angeles,,,F
A-min,Cho Minwoo,조민우,아민,22/05/2004,EPEX,8/06/2021,C9,South Korea,,175,54,Namyangju,,,M
Andy,Lui Chunyeung,루이쯔양,앤디,6/10/1994,7 O'clock,26/08/2014,Jungle,Hong Kong,,,,,,,M
Andy,Lee Sunho,이선호,앤디,21/01/1981,Shinhwa,24/03/1998,SM| Good| Shinhwa,South Korea,,175,62,Seoul,,,M
Anne,Lee Seoyoung,이서영,앤,17/10/2000,GWSN,5/09/2018,Kiwi Pop,South Korea,,,,,,,F
Anthony,Anthony Lo,엔써니 루오,엔써니,12/03/1998,VARSITY,5/01/2017,GKC,China,USA,179,,,,,M
Ara,Lee Yunji,이윤지,아라,23/01/2002,ILY:1,4/04/2022,FC ENM,South Korea,,158,,,,,F
A-ra,Choi Eunji,최은지,아라,25/07/2003,Girls' World,20/06/2002,Liz,South Korea,,158,,Seoul,,,F
Aran,Jeong Eunah,정은아,아란,11/10/2004,FIFTY FIFTY,18/11/2022,ATTRAKT,South Korea,,162,44,,,,F
Arang,Son Mnjung,손민정,아랑,8/03/2000,,,,South Korea,,,,,,NeonPunch,F
Arang,Park Yerim,박예림,아랑,22/01/2001,Pink Fantasy,28/10/2018,My Doll,South Korea,,167,49,,,,F
Areum,Kim Daun,김다운,아름,31/01/1998,AREAL,21/08/2020,JZ Factory,South Korea,,,,,,Rose Finger,F
Ari,Kim Sunyoung,김선영,아리,23/10/1994,Tahiti,23/06/2012,J-line,South Korea,,,,Daegu,,,F
Aria,Baby Gauthami,베이비 고타미,아리아,12/03/2003,X:IN,11/04/2023,Escrow,India,,,,,,,F
Arie,Jeon Minjae,전민재,아리,7/04/2000,MIXX,2/05/2016,Chiko,South Korea,,163,45,,,,F
Arin,Choi Yewon,최예원,아린,18/06/1999,Oh My Girl,21/04/2015,WM,South Korea,,163,47,Busan,,,F
Aron,Kwak Youngmin,곽영민,아론,21/05/1993,NU'EST,15/03/2012,Pledis,South Korea,USA,,,California,NU'EST W,,M
Arthur,Jang Yunho,장윤호,아서,15/04/2000,Kingdom,18/02/2021,GF,South Korea,,176,57,,,VARSITY,M
Asa,Enami Asa,에나미 아사,아사,17/04/2006,BABYMONSTER,0/01/1900,YG,Japan,,,,,,,F
