"cerealName","parsedName","brand","dietLabels","healthLabels","calories","Energy_kcal","Total.lipid..fat._g","Fatty.acids..total.saturated_g","Fatty.acids..total.trans_g","Fatty.acids..total.monounsaturated_g","Fatty.acids..total.polyunsaturated_g","Carbohydrate..by.difference_g","Carbohydrates..net._g","Fiber..total.dietary_g","Sugars..total_g","Protein_g","Cholesterol_mg","Sodium..Na_mg","Calcium..Ca_mg","Magnesium..Mg_mg","Potassium..K_mg","Iron..Fe_mg","Zinc..Zn_mg","Phosphorus..P_mg","Vitamin.A..RAE_µg","Vitamin.C..total.ascorbic.acid_mg","Thiamin_mg","Riboflavin_mg","Niacin_mg","Vitamin.B.6_mg","Folate..DFE_µg","Folate..food_µg","Folic.acid_µg","Vitamin.B.12_µg","Vitamin.D..D2...D3._µg","Vitamin.E..alpha.tocopherol._mg","Vitamin.K..phylloquinone._µg","Water_g","Energy_pct","Fat_pct","Saturated_pct","Carbs_pct","Fiber_pct","Protein_pct","Cholesterol_pct","Sodium_pct","Calcium_pct","Magnesium_pct","Potassium_pct","Iron_pct","Zinc_pct","Phosphorus_pct","Vitamin.A_pct","Vitamin.C_pct","Thiamin..B1._pct","Riboflavin..B2._pct","Niacin..B3._pct","Vitamin.B6_pct","Folate.equivalent..total._pct","Vitamin.B12_pct","Vitamin.D_pct","Vitamin.E_pct","Vitamin.K_pct","rawGPTRank","gptDescription"
"100% Bran Cereal","unparsed","nabisco","HIGH_FIBER, LOW_SODIUM","LOW_FAT_ABS, VEGAN, VEGETARIAN, PESCATARIAN, MEDITERRANEAN, DAIRY_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, SULPHITE_FREE, KOSHER",161,161.2,3.04,0.4,0,0.42,1.31,46.03,27.86,18.17,9.73,8.15,0,159.96,241.18,224.44,632.4,10.91,7.69,713,323.64,12.4,1.41,1.68,9.18,7.44,1362.76,25.42,786.78,11.66,2.67,0.77,3.22,1.31,8.06,4.67,1.98,15.34,72.66,16.29,0,6.66,24.12,53.44,13.46,60.62,69.89,101.86,35.96,13.78,117.28,129.25,57.35,572.31,340.69,485.67,17.77,5.13,2.69,"I couldn't find 100% Bran Cereal made by Nabisco, but if you meant ""100% Bran Cereal"" made by Post, then the rank is 6.5.","100% Bran Cereal :  is an all-natural bran cereal containing multiple grains, including wheat and oats, as well as natural sweeteners such as honey and molasses. This high-fiber cereal is an excellent source of essential vitamins and minerals including niacin, iron, and vitamin B6."
"All Bran Bran Buds","unparsed","kellog","HIGH_FIBER, LOW_FAT","LOW_FAT_ABS, VEGAN, VEGETARIAN, PESCATARIAN, MEDITERRANEAN, DAIRY_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, SULPHITE_FREE, KOSHER",231,231.53,2.25,0.45,0,0.45,1.35,72.97,34.68,38.29,24.05,8.02,0,617.12,56.76,180.18,730.63,13.51,4.5,450.45,450.45,18.02,1.13,1.28,15.05,6.01,2015.32,36.94,1163.96,18.02,2.97,0,0.81,2.7,11.58,3.47,2.25,24.32,153.15,16.04,0,25.71,5.68,42.9,15.55,75.08,40.95,64.35,50.05,20.02,93.84,98.41,94.03,462.23,503.83,750.75,19.82,0,0.68,"8.5","All Bran Bran Buds : 's is a cereal that is made with whole wheat and bran to provide fiber and nutrition. It is a low sugar, heart healthy cereal that is a great source of dietary fiber."
"Almond Oatmeal Crisp","unparsed","generalMills","LOW_FAT, LOW_SODIUM","FAT_FREE, LOW_FAT_ABS, SUGAR_CONSCIOUS, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGETARIAN, PESCATARIAN, MEDITERRANEAN, DAIRY_FREE, WHEAT_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, SULPHITE_FREE, KOSHER",201,201.3,0.72,0.08,NA,0.09,0.31,45.21,36.13,9.07,0.59,4.34,0,225.5,17.05,42.9,175.45,1.34,1.31,147.95,0,0,0.13,0.08,0.57,0.12,35.75,12.1,13.75,0,0,0.45,3.3,3.36,10.06,1.1,0.4,15.07,36.3,8.69,0,9.4,1.71,10.21,3.73,7.42,11.95,21.14,0,0,11.14,6.13,3.58,8.88,8.94,0,0,2.97,2.75,"I'd rate it an 8.","Almond Oatmeal Crisp :  is a delicious cereal made with lightly sweetened whole grain oats, almonds and crispy rice flakes. It is both crunchy and creamy, and provides a great source of fiber and protein."
"Apple Cinnamon Cheerios","unparsed","generalMills","LOW_SODIUM","LOW_FAT_ABS, SUGAR_CONSCIOUS, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, DAIRY_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, SULPHITE_FREE, KOSHER",105,105.28,1.88,0.42,0.01,0.67,0.68,20.5,17.87,2.63,1.22,3.39,0,139.16,112.28,31.92,179.48,9.29,4.68,134.68,277.2,6.05,0.37,0.03,5.87,0.67,336.28,5.32,194.6,1.9,0.95,0.18,0.5,1.44,5.26,2.9,2.1,6.83,10.53,6.77,0,5.8,11.23,7.6,3.82,51.6,42.59,19.24,30.8,6.72,30.96,2.15,36.69,51.48,84.07,78.98,6.35,1.21,0.42,"8.5","Apple Cinnamon Cheerios : This cereal consists of toasted oat pieces with a sweet apple cinnamon flavor. It's packed with whole grain oats and loaded with vitamins and minerals."
"Banana Nut Crunch","unparsed","post","LOW_CARB, LOW_SODIUM","SUGAR_CONSCIOUS, LOW_SUGAR, KIDNEY_FRIENDLY, KETO_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, MEDITERRANEAN, DASH, DAIRY_FREE, GLUTEN_FREE, WHEAT_FREE, EGG_FREE, MILK_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, NO_SUGAR_ADDED, SULPHITE_FREE, FODMAP_FREE, KOSHER",813,813.78,70.49,9.45,NA,43.01,14.75,34.73,22.4,12.33,NA,23.7,0,16.44,95.9,308.25,817.89,5.07,5.21,595.95,1.37,0.55,0.27,0.27,6.44,0.41,68.5,68.5,0,0,0,NA,NA,2.4,40.69,108.44,47.26,11.58,49.32,47.4,0,0.69,9.59,73.39,17.4,28.16,47.33,85.14,0.15,0.61,22.83,21.08,40.24,31.19,17.12,0,0,NA,NA,"8.5","Banana Nut Crunch :  is a crunchy cereal with a delicious blend of banana and nuts. It contains a sweet finish to it and is great for a breakfast treat."
"Barley, Wheat","unparsed","quaker","HIGH_FIBER, LOW_FAT, LOW_SODIUM","LOW_FAT_ABS, SUGAR_CONSCIOUS, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, MEDITERRANEAN, DASH, DAIRY_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, NO_SUGAR_ADDED, SULPHITE_FREE, KOSHER",556,556.08,2.62,0.49,NA,0.3,1.1,124.72,103.72,21,0.69,17.39,0,3.36,45.36,211.68,666.96,5.39,4.42,828.24,0,0,0.66,0.16,8.06,0.46,68.88,68.88,0,0,0,1.7,NA,20.45,27.8,4.03,2.43,41.57,84,34.78,0,0.14,4.54,50.4,14.19,29.96,40.17,118.32,0,0,55.16,12.41,50.4,35.15,17.22,0,0,11.31,NA,"5.5","Barley, Wheat :  is an oat-based cereal that contains no artificial flavors, colors, or preservatives. It is made up of wheat flour, malt barley flour, and whole grains of wheat and barley, providing a crunchy and nutty flavor."
"Blueberry Morning, Post","unparsed","post","LOW_FAT, LOW_SODIUM","FAT_FREE, LOW_FAT_ABS, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, PALEO, SPECIFIC_CARBS, MEDITERRANEAN, DASH, DAIRY_FREE, GLUTEN_FREE, WHEAT_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, NO_SUGAR_ADDED, SULPHITE_FREE, FODMAP_FREE, KOSHER",84,84.36,0.49,0.04,NA,0.07,0.22,21.45,17.89,3.55,14.74,1.1,0,1.48,8.88,8.88,113.96,0.41,0.24,17.76,4.44,14.36,0.05,0.06,0.62,0.08,8.88,8.88,0,0,0,0.84,28.56,124.63,4.22,0.75,0.21,7.15,14.21,2.19,0,0.06,0.89,2.11,2.42,2.3,2.15,2.54,0.49,15.95,4.56,4.67,3.87,5.92,2.22,0,0,5.62,23.8,"8","Blueberry Morning, Post :  offers great taste with both crunchy and sweet flavors of wild blueberries. It is a delicious and nutritious cereal that is a good source of fiber and is made with real blueberries."
"Bran Cereal","unparsed","nabisco","HIGH_FIBER, LOW_SODIUM","LOW_FAT_ABS, VEGAN, VEGETARIAN, PESCATARIAN, MEDITERRANEAN, DAIRY_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, SULPHITE_FREE, KOSHER",161,161.2,3.04,0.4,0,0.42,1.31,46.03,27.86,18.17,9.73,8.15,0,159.96,241.18,224.44,632.4,10.91,7.69,713,323.64,12.4,1.41,1.68,9.18,7.44,1362.76,25.42,786.78,11.66,2.67,0.77,3.22,1.31,8.06,4.67,1.98,15.34,72.66,16.29,0,6.66,24.12,53.44,13.46,60.62,69.89,101.86,35.96,13.78,117.28,129.25,57.35,572.31,340.69,485.67,17.77,5.13,2.69,"I'm sorry, I don't have enough information to provide you with a specific ranking for this cereal. Could you please provide me with a more specific name or product code for the cereal?","Bran Cereal :  is a slightly sweet and crunchy cereal with a nutty taste. It is a fortified cereal made with whole grain wheat and rice, vitamins and minerals."
"Bran Flakes","unparsed","kellog","HIGH_FIBER, LOW_SODIUM","LOW_FAT_ABS, VEGAN, VEGETARIAN, PESCATARIAN, MEDITERRANEAN, DAIRY_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, SULPHITE_FREE, KOSHER",161,161.2,3.04,0.4,0,0.42,1.31,46.03,27.86,18.17,9.73,8.15,0,159.96,241.18,224.44,632.4,10.91,7.69,713,323.64,12.4,1.41,1.68,9.18,7.44,1362.76,25.42,786.78,11.66,2.67,0.77,3.22,1.31,8.06,4.67,1.98,15.34,72.66,16.29,0,6.66,24.12,53.44,13.46,60.62,69.89,101.86,35.96,13.78,117.28,129.25,57.35,572.31,340.69,485.67,17.77,5.13,2.69,"5.5","Bran Flakes : 's is a crunchy and high-fibre cereal perfect for a healthy breakfast. It's made with whole grain wheat and malt flavouring that delivers a nutty, slightly sweet flavour."
"Bran, Raisin","unparsed","quaker","LOW_FAT, LOW_SODIUM","FAT_FREE, LOW_FAT_ABS, VEGAN, VEGETARIAN, PESCATARIAN, PALEO, SPECIFIC_CARBS, MEDITERRANEAN, DASH, DAIRY_FREE, GLUTEN_FREE, WHEAT_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, NO_SUGAR_ADDED, SULPHITE_FREE, KOSHER",433,433.55,0.67,0.08,NA,0.07,0.05,114.81,109.45,5.36,85.83,4.45,0,15.95,72.5,46.4,1086.05,2.73,0.32,146.45,0,3.34,0.15,0.18,1.11,0.25,7.25,7.25,0,0,0,0.17,5.08,22.37,21.68,1.03,0.42,38.27,21.46,8.9,0,0.66,7.25,11.05,23.11,15.14,2.9,20.92,0,3.71,12.81,13.94,6.94,19.41,1.81,0,0,1.16,4.23,"I'm sorry, I don't have enough information to provide an accurate ranking.","Bran, Raisin :  oatmeal is a wholesome and delicious cereal. It has the perfect balance of crunch and natural sweetness that makes it a great breakfast or snack."
