gender,sat,gpa,aptitude_test,admissions_interview_1,admissions_interview_2,extracurricular_score,accepted
Female,1230,3.57,70,4,3,4,0
Female,1250,3.58,20,3,4,4,0
Female,930,2.89,77,2,3,3,0
Female,1110,3.49,85,5,3,4,0
Male,1260,3.56,83,3,3,3,1
Male,1370,2.73,65,2,4,3,0
Female,1220,3.36,70,3,4,4,0
Male,1350,3.29,39,4,2,3,0
Female,1020,3.35,62,2,4,5,0
Female,650,3.13,67,3,3,1,0
Male,1000,3.17,68,2,3,2,0
Male,1030,3.67,87,4,4,3,1
Female,990,2.57,84,3,4,3,0
Female,1030,3.38,50,5,3,1,0
Female,940,2.93,52,3,3,3,0
Male,1180,3.6,24,3,3,3,0
Male,1430,3.67,50,4,4,2,1
Female,1280,3.48,58,4,4,3,0
Female,1360,3.48,78,3,3,5,0
Male,1260,3.41,81,2,4,3,0
Male,1180,3.42,53,3,4,3,0
Female,1060,3.42,18,3,4,2,0
Female,1090,3.36,94,4,4,1,1
Female,1070,3.51,49,2,3,4,0
Female,900,3.42,77,3,4,1,0
Female,1200,3.46,87,4,3,5,0
Female,1280,3.54,57,3,3,4,0
Male,1350,3.23,33,4,3,3,1
Male,1310,3.31,29,3,4,3,0
Female,1300,3.56,73,4,4,2,1
Male,930,2.91,84,3,4,3,0
Female,1240,3.61,69,2,4,3,0
Female,810,3.13,58,3,3,3,0
Female,810,3,66,2,3,2,0
Male,1200,3.17,48,3,3,2,0
Female,1260,3.58,84,3,4,5,1
Female,1370,3.48,79,3,3,1,0
Female,1060,3.48,82,4,4,3,1
Female,1060,3.51,61,4,4,2,0
Female,1250,3.39,34,2,3,5,0
Male,1010,3.01,44,2,4,2,0
Male,1270,2.89,67,4,4,3,0
Female,880,3.1,84,4,3,3,0
Male,1080,3.55,100,2,3,2,0
Male,1140,3.35,65,2,3,3,0
Female,710,3.06,84,3,4,1,0
Female,960,3.07,65,3,3,1,0
Female,1020,3.58,46,3,3,3,0
Male,760,3.65,23,2,4,3,0
Male,1260,2.91,42,4,4,2,0
Female,1090,3.51,50,3,4,5,0
Male,900,2.74,53,2,3,3,0
Male,1270,3.17,36,3,2,3,0
Female,990,3.1,77,3,4,3,0
Female,1270,3.59,80,4,4,4,1
Male,830,3.52,22,4,3,3,0
Male,1100,3.15,37,4,4,3,0
Female,1140,3.65,89,4,4,3,1
Male,1280,3.21,35,3,2,3,0
Male,1300,3.2,63,4,2,3,0
Male,1330,3.15,39,4,4,2,0
