"Timestamp","Age","Gender","City","Position","Total.years.of.experience","Years.of.experience.in.Germany","Seniority.level","Your.main.technology...programming.language","Other.technologies.programming.languages.you.use.often","Yearly.brutto.salary..without.bonus.and.stocks..in.EUR","Yearly.bonus...stocks.in.EUR","Annual.brutto.salary..without.bonus.and.stocks..one.year.ago..Only.answer.if.staying.in.the.same.country","Annual.bonus.stocks.one.year.ago..Only.answer.if.staying.in.same.country","Number.of.vacation.days","Employment.status","Сontract.duration","Main.language.at.work","Company.size","Company.type","Have.you.lost.your.job.due.to.the.coronavirus.outbreak.","Have.you.been.forced.to.have.a.shorter.working.week..Kurzarbeit...If.yes..how.many.hours.per.week","Have.you.received.additional.monetary.support.from.your.employer.due.to.Work.From.Home..If.yes..how.much.in.2020.in.EUR","Years.of.experience","Your.level","Current.Salary","Salary.one.year.ago","Salary.two.years.ago","Are.you.getting.any.Stock.Options.","Zeitstempel","Position..without.seniority.","Yearly.brutto.salary..without.bonus.and.stocks.","Yearly.bonus","Yearly.stocks","Yearly.brutto.salary..without.bonus.and.stocks..one.year.ago..Only.answer.if.staying.in.same.country","Yearly.bonus.one.year.ago..Only.answer.if.staying.in.same.country","Yearly.stocks.one.year.ago..Only.answer.if.staying.in.same.country","Number.of.home.office.days.per.month","Company.name","Company.business.sector","X0"
"24/11/2020 11:14:15",26,"Male","Munich","Software Engineer","5","3","Senior","TypeScript","Kotlin, Javascript / Typescript",80000,"5000",75000,"10000","30","Full-time employee","Unlimited contract","English","51-100","Product","No",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:14:16",26,"Male","Berlin","Backend Developer","7","4","Senior","Ruby","",80000,"",82000,"5000","28","Full-time employee","Unlimited contract","English","101-1000","Product","No",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:14:21",29,"Male","Berlin","Software Engineer","12","6","Lead","Javascript / Typescript","Javascript / Typescript, Docker",120000,"120000",100000,"100000","30","Self-employed (freelancer)","Temporary contract","English","101-1000","Product","Yes",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:15:24",28,"Male","Berlin","Frontend Developer","4","1","Junior","Javascript","",54000,"",NA,"","24","Full-time employee","Unlimited contract","English","51-100","Startup","No",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:15:46",37,"Male","Berlin","Backend Developer","17","6","Senior","C# .NET",".NET, SQL, AWS, Docker",62000,"",62000,"","29","Full-time employee","Unlimited contract","English","101-1000","Product","No",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:15:53",32,"Male","Berlin","DevOps","5","1","Senior","AWS, GCP, Python,K8s","Python, AWS, Google Cloud, Kubernetes, Docker",76000,"5000",76000,"5000","30","Full-time employee","Unlimited contract","English","11-50","Startup","No",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:16:35",37,"Male","Berlin","Frontend Developer","6","0.4","Middle","Javascript","",57000,"",NA,"","24","Full-time employee","Unlimited contract","English","11-50","Product","No",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:16:44",24,"Male","Berlin","Frontend Developer","5","1","Senior","Typescript","Javascript / Typescript",65000,"",65000,"","27","Full-time employee","Unlimited contract","English","1000+","Product","No",0,"600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:17:24",29,"Male","Berlin","Backend Developer","8","2","Senior","PHP","SQL, AWS, Docker",56000,"",55000,"","28","Full-time employee","Unlimited contract","English","101-1000","Product","No",30,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:17:50",35,"Male","Berlin","Software Engineer","15","3","Lead","Java","",95000,"",90000,"","30","Full-time employee","Unlimited contract","English","101-1000","Product","No",0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
